case,case_key,part,n,velocity_max,divvel_maxabs,divvel_mean,porepressrate_maxabs,porepress_mean,porepress_min,porepress_max,negative_pressure_count,p_eff_mean,q_mean,kplastic_max,q_interior,q_lateral,q_top_cap,q_bottom_cap,q_edge,p_eff_interior,p_eff_lateral,p_eff_top_cap,p_eff_bottom_cap,p_eff_edge
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,23,407,0.00043270917005006526,0.0,0.0,0.0,-2960.1748324506607,-9328.680944399,1372.902806793,354,46.376116354217885,15.649259885861449,0.0,8.027975334598715,18.075031015797606,16.200206055886465,16.20020511450741,15.514043279486339,44.965183,47.4475580680272,41.93761222037037,41.93761273148148,46.72140532767859
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,24,407,0.0004766704092447863,0.018007586,-0.00010932130393120504,11996666.0,-1924.0748207666122,-10467.76471502,5533.221196685,256,48.96636654430795,16.155516071190796,0.0,8.659858268413336,19.246208267814485,16.48802700345877,16.488026238529926,14.856233850153385,50.92182073015874,52.71131754761906,39.925826918518524,39.92582724999999,44.21864699255951
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,25,407,0.0008255418904815218,0.036405046,0.009476125383218672,24273124.0,-2882.3029992700526,-12538.77577125,6408.771463246,274,46.5707957420475,16.052055956788205,0.0,8.574763983472199,19.918412593715587,16.307851053631634,16.307850875633438,13.409688753205588,50.56285361375661,53.54055678061225,32.64945077666667,32.649450307407406,36.6028994717262
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,26,407,0.0011762441331459382,0.055958297,0.020693287376611785,37280192.0,-6363.992421659806,-19855.8310635,4762.5241413,340,37.86657114086814,15.788901356453394,0.0,7.744252060632441,20.647464160944928,15.241935613223546,15.241936234696583,11.987341995079623,43.73129790476188,50.99356752040818,15.668730214814815,15.668727827777778,18.730439353273805
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,27,407,0.001258040622823072,0.060440619,0.024957375238329232,40242896.0,-9342.721200923672,-20765.46390951,-66.23134201836,407,29.797778771531537,16.142955998654053,0.0,7.045022370662921,20.995174644851065,14.339128239290197,14.339129098070325,13.348962675331565,35.67329574603175,47.17032852823127,2.9149912983333333,2.91498655425926,4.731735135119051
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,28,407,0.0012217079114532788,0.05390656,0.025524558059705122,35894452.0,-14542.671649631595,-30141.35680679,-3057.251972841,407,16.79790125969697,17.476633653572463,0.0,7.1462421722763345,21.498599433371975,13.717432672309144,13.71743241828979,17.457353389097218,20.67551873915344,39.409014037585024,-13.742319131481484,-13.742324077777777,-15.136205727410722
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,29,407,0.0010678830710457092,0.04226543,0.022159049185012297,28106440.0,-17648.83869262626,-35794.04978293,-4919.048217528,407,9.032482664291557,18.56304468396107,0.0,8.90122209148585,21.935385556422762,12.317154864474704,12.317154060035518,20.103830936683135,10.510609484126984,33.78442230816325,-21.225409353703704,-21.225414337037037,-25.38910624196429
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,30,407,0.0008609392700000033,0.031567056,0.012844253680687954,21000126.0,-20916.595202406756,-41088.53116245,-8191.317427911,407,0.8630908586838636,20.722479945202853,0.0,14.498245659091953,23.350563330215074,10.567740389894455,10.567737276513123,22.888489736225637,-1.9709724185026445,26.307244586649677,-25.424469212037035,-25.424473693518518,-33.620443971726196
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,31,407,0.0008519563918775492,0.020199617,0.005203162057953316,13422081.0,-21803.09005103556,-32715.44041602,-13783.43898217,407,-1.5270055089271073,22.73392824176517,0.0,20.169967364948057,25.132442572650927,10.916989807097444,10.916986370896161,23.77705834788591,-7.058080082486775,22.798229764285715,-23.769688267037036,-23.769692288703705,-33.835503399404764
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,32,407,0.0008178068494308779,0.023897611,-0.005191572364071258,15925961.0,-21414.71106106743,-32049.26897885,-16136.90273082,407,-0.5560575638704347,26.673760910469852,0.0,31.138280529192322,29.452243787256336,12.242624984111874,12.242622179469606,23.938703446209015,-8.751716269660319,20.687410156768713,-16.9912764962963,-16.991278898148146,-27.839318724404755
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,33,407,0.000757758933848425,0.028507531,-0.01012378540828919,19004814.0,-20206.696047435944,-30883.10883663,-16586.82371012,407,2.4639801712710883,29.79104015700686,0.0,39.57955423427784,33.36170923223352,12.626481238285395,12.62647911838166,23.553510100040338,-6.233640324179895,21.44095698243197,-11.310093444444442,-11.31009446851852,-21.42593674993452
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,34,407,0.0008025148611355362,0.03067472,-0.013679338144963147,20428792.0,-17623.965090554073,-28698.30312377,-13345.95206691,407,8.920808193988536,34.71384203307057,0.0,52.76897229686115,40.15765654440008,11.947036474768403,11.94703368931129,22.349058099121656,1.2797860962962961,25.047258463605445,-3.467886281851852,-3.4678862714814818,-11.020324482321428
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,stageB_restart,35,407,0.0007682876029726334,0.030946406,-0.013508905751400497,20585928.0,-15464.685158778582,-19439.63692789,-12714.27909522,407,13.50238370890868,37.88510216955231,0.0,61.18184885046009,44.834617980671155,11.295714950092037,11.295711437923611,21.165618805651576,7.386077400529101,28.328457821258493,0.2950308883333334,0.2950308701851853,-4.75760313685268
CaseT4n2_Fresh_Lateral_FeedbackOff,fresh_lateral,0,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0
CaseT4n2_Fresh_Lateral_FeedbackOff,fresh_lateral,1,407,0.000968458111408096,0.030540999,0.022158477110565112,20360664.0,-7426.230126886061,-10235.56260894,-4059.836936988,407,31.434423686322678,5.4967249700762615,0.0,6.138056832674403,6.848037569623878,4.82135951510371,4.821357707403022,2.988260792063834,30.228620052910063,32.13345949149659,26.87338842592593,26.87339001851852,32.35542236309525
CaseT4n2_Fresh_Lateral_FeedbackOff,fresh_lateral,2,407,0.0011284463052013921,0.067193255,0.046737734039312036,44764000.0,-16804.490401738254,-23501.52625974,-9842.841937759,407,7.988770788116289,11.78417791821954,0.0,13.468941098827026,14.30200793430212,10.612702422076577,10.612700257697607,6.80684214401871,4.785727903333333,10.727260152806116,-3.3557319696296295,-3.3557297279629625,8.64457297732143
CaseT4n2_Fresh_Lateral_FeedbackOff,fresh_lateral,3,407,0.0011813643295111964,0.05969448,0.03981179485503684,39737384.0,-22436.11599990059,-31797.24887451,-14318.19935327,407,-6.090294773824733,14.636581970114188,0.0,17.134446352699737,17.071993324061552,13.4313805021985,13.431378778539205,9.356949848634367,-11.13858936666667,-0.5690841240476188,-22.632563561111112,-22.632560792592592,-7.5955903229166655
