case,time,status,count
baseline,0.0,-8,0
baseline,0.0,-7,0
baseline,0.0,-6,0
baseline,0.0,-5,0
baseline,0.0,-4,0
baseline,0.0,-3,0
baseline,0.0,-2,0
baseline,0.0,-1,0
baseline,0.0,0,407
baseline,0.0,1,0
baseline,0.0,2,0
baseline,0.000503,-8,0
baseline,0.000503,-7,0
baseline,0.000503,-6,0
baseline,0.000503,-5,0
baseline,0.000503,-4,0
baseline,0.000503,-3,0
baseline,0.000503,-2,0
baseline,0.000503,-1,0
baseline,0.000503,0,407
baseline,0.000503,1,0
baseline,0.000503,2,0
baseline,0.001005,-8,0
baseline,0.001005,-7,0
baseline,0.001005,-6,0
baseline,0.001005,-5,0
baseline,0.001005,-4,0
baseline,0.001005,-3,4
baseline,0.001005,-2,0
baseline,0.001005,-1,92
baseline,0.001005,0,161
baseline,0.001005,1,150
baseline,0.001005,2,0
baseline,0.001508,-8,0
baseline,0.001508,-7,0
baseline,0.001508,-6,0
baseline,0.001508,-5,0
baseline,0.001508,-4,0
baseline,0.001508,-3,0
baseline,0.001508,-2,0
baseline,0.001508,-1,157
baseline,0.001508,0,120
baseline,0.001508,1,130
baseline,0.001508,2,0
baseline,0.002011,-8,0
baseline,0.002011,-7,0
baseline,0.002011,-6,0
baseline,0.002011,-5,0
baseline,0.002011,-4,0
baseline,0.002011,-3,4
baseline,0.002011,-2,0
baseline,0.002011,-1,86
baseline,0.002011,0,176
baseline,0.002011,1,141
baseline,0.002011,2,0
baseline,0.002513,-8,0
baseline,0.002513,-7,0
baseline,0.002513,-6,0
baseline,0.002513,-5,0
baseline,0.002513,-4,0
baseline,0.002513,-3,0
baseline,0.002513,-2,0
baseline,0.002513,-1,40
baseline,0.002513,0,185
baseline,0.002513,1,182
baseline,0.002513,2,0
baseline,0.003016,-8,0
baseline,0.003016,-7,0
baseline,0.003016,-6,0
baseline,0.003016,-5,0
baseline,0.003016,-4,0
baseline,0.003016,-3,4
baseline,0.003016,-2,0
baseline,0.003016,-1,0
baseline,0.003016,0,230
baseline,0.003016,1,173
baseline,0.003016,2,0
baseline,0.003519,-8,0
baseline,0.003519,-7,0
baseline,0.003519,-6,0
baseline,0.003519,-5,0
baseline,0.003519,-4,0
baseline,0.003519,-3,4
baseline,0.003519,-2,0
baseline,0.003519,-1,0
baseline,0.003519,0,210
baseline,0.003519,1,193
baseline,0.003519,2,0
baseline,0.004021,-8,0
baseline,0.004021,-7,0
baseline,0.004021,-6,0
baseline,0.004021,-5,0
baseline,0.004021,-4,0
baseline,0.004021,-3,1
baseline,0.004021,-2,0
baseline,0.004021,-1,0
baseline,0.004021,0,140
baseline,0.004021,1,266
baseline,0.004021,2,0
baseline,0.004524,-8,0
baseline,0.004524,-7,0
baseline,0.004524,-6,0
baseline,0.004524,-5,0
baseline,0.004524,-4,0
baseline,0.004524,-3,0
baseline,0.004524,-2,0
baseline,0.004524,-1,0
baseline,0.004524,0,59
baseline,0.004524,1,348
baseline,0.004524,2,0
baseline,0.005027,-8,0
baseline,0.005027,-7,0
baseline,0.005027,-6,0
baseline,0.005027,-5,0
baseline,0.005027,-4,0
baseline,0.005027,-3,0
baseline,0.005027,-2,0
baseline,0.005027,-1,0
baseline,0.005027,0,18
baseline,0.005027,1,389
baseline,0.005027,2,0
baseline,0.005529,-8,0
baseline,0.005529,-7,0
baseline,0.005529,-6,0
baseline,0.005529,-5,0
baseline,0.005529,-4,0
baseline,0.005529,-3,0
baseline,0.005529,-2,0
baseline,0.005529,-1,0
baseline,0.005529,0,1
baseline,0.005529,1,406
baseline,0.005529,2,0
baseline,0.006032,-8,0
baseline,0.006032,-7,0
baseline,0.006032,-6,0
baseline,0.006032,-5,0
baseline,0.006032,-4,0
baseline,0.006032,-3,0
baseline,0.006032,-2,0
baseline,0.006032,-1,0
baseline,0.006032,0,0
baseline,0.006032,1,407
baseline,0.006032,2,0
baseline,0.006535,-8,0
baseline,0.006535,-7,0
baseline,0.006535,-6,0
baseline,0.006535,-5,0
baseline,0.006535,-4,0
baseline,0.006535,-3,0
baseline,0.006535,-2,0
baseline,0.006535,-1,0
baseline,0.006535,0,2
baseline,0.006535,1,405
baseline,0.006535,2,0
baseline,0.007037,-8,0
baseline,0.007037,-7,0
baseline,0.007037,-6,0
baseline,0.007037,-5,0
baseline,0.007037,-4,0
baseline,0.007037,-3,4
baseline,0.007037,-2,0
baseline,0.007037,-1,0
baseline,0.007037,0,2
baseline,0.007037,1,401
baseline,0.007037,2,0
baseline,0.00754,-8,0
baseline,0.00754,-7,0
baseline,0.00754,-6,0
baseline,0.00754,-5,0
baseline,0.00754,-4,0
baseline,0.00754,-3,0
baseline,0.00754,-2,0
baseline,0.00754,-1,4
baseline,0.00754,0,2
baseline,0.00754,1,401
baseline,0.00754,2,0
baseline,0.008043,-8,0
baseline,0.008043,-7,0
baseline,0.008043,-6,0
baseline,0.008043,-5,0
baseline,0.008043,-4,0
baseline,0.008043,-3,4
baseline,0.008043,-2,0
baseline,0.008043,-1,4
baseline,0.008043,0,2
baseline,0.008043,1,397
baseline,0.008043,2,0
baseline,0.008545,-8,0
baseline,0.008545,-7,0
baseline,0.008545,-6,0
baseline,0.008545,-5,0
baseline,0.008545,-4,0
baseline,0.008545,-3,0
baseline,0.008545,-2,0
baseline,0.008545,-1,4
baseline,0.008545,0,2
baseline,0.008545,1,401
baseline,0.008545,2,0
baseline,0.009048,-8,0
