case,configured_dp,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,resolution,time
coarse_compression,0.01,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.2,0.0,coarse,0.0
coarse_compression,0.01,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.4,0.2,coarse,0.0
coarse_compression,0.01,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.6,0.4,coarse,0.0
coarse_compression,0.01,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.8,0.6,coarse,0.0
coarse_compression,0.01,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.9,0.8,coarse,0.0
coarse_compression,0.01,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.95,0.9,coarse,0.0
coarse_compression,0.01,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,1.0,0.95,coarse,0.0
coarse_compression,0.01,7,19.87425200523,19.87425200523,19.693581875055717,19.66347012942,19.747785538128,19.811018771679002,19.861605358519803,1,compression,4,0.2,0.0,coarse,0.001005
coarse_compression,0.01,26,26.56012174332,26.56012174332,23.08560221356654,23.654127341815,26.560119705955,26.560120614175002,26.560121522400003,1,compression,4,0.4,0.2,coarse,0.001005
coarse_compression,0.01,90,53.48918034613,53.48918034613,42.41188471837165,37.173590146760006,53.332341413993,53.489172314507,53.4891745786808,1,compression,4,0.6,0.4,coarse,0.001005
coarse_compression,0.01,134,71.49045695653,71.49045695653,63.533265364784995,63.238412520425,65.80441067283,65.80441448244801,71.4904515916416,1,compression,4,0.8,0.6,coarse,0.001005
coarse_compression,0.01,132,70.53494912862,70.53494912862,66.48427490580933,67.30474979070999,70.53493587350401,70.53494053733701,70.5349475105081,1,compression,4,0.9,0.8,coarse,0.001005
coarse_compression,0.01,72,64.98496319195,64.98496319195,64.29645434880308,64.984947383995,64.984957850626,64.9849601383665,64.9849626342521,1,compression,4,0.95,0.9,coarse,0.001005
coarse_compression,0.01,54,67.29280918791,67.29280918791,60.71134872898205,62.294117540255,65.79320253801701,67.292805810313,67.29280877160029,1,compression,4,1.0,0.95,coarse,0.001005
coarse_compression,0.01,7,411.8105681901,411.8105681901,397.9634779700428,395.6556313815,402.11762186742,406.96409502876,410.84127355783204,2,compression,4,0.2,0.0,coarse,0.002011
coarse_compression,0.01,26,378.4902983177,378.4902983177,365.5154209166846,362.00269112374997,378.49029047240003,378.49029378122503,378.4902972704,2,compression,4,0.4,0.2,coarse,0.002011
coarse_compression,0.01,90,334.2172055452,334.2172055452,322.6069074026769,326.21947852134997,334.21719391179,334.21719939819,334.21720382394,2,compression,4,0.6,0.4,coarse,0.002011
coarse_compression,0.01,134,308.3857567779,308.3857567779,297.2605251524141,294.13645891855003,308.38573072560996,308.385742425115,308.385747480649,2,compression,4,0.8,0.6,coarse,0.002011
coarse_compression,0.01,132,285.2504399563,285.2504399563,278.1599633499105,280.579939912,285.25040666814,285.2504203697,285.250430876068,2,compression,4,0.9,0.8,coarse,0.002011
coarse_compression,0.01,72,272.8507860712,272.8507860712,271.5703268233416,272.850754856,272.85077158002,272.85077546739,272.85077937220797,2,compression,4,0.95,0.9,coarse,0.002011
coarse_compression,0.01,54,269.0821105706,269.0821105706,264.99622543305367,268.7943990302,268.99578128617,269.082092195805,269.082102808962,2,compression,4,1.0,0.95,coarse,0.002011
coarse_compression,0.01,1,63.38693183072,63.38693183072,63.38693183072,63.38693183072,63.38693183072,63.38693183072,63.38693183072,3,compression,4,0.2,0.0,coarse,0.003016
coarse_compression,0.01,32,188.5315856124,188.5315856124,156.70062382908435,151.27434474839998,188.53156900731,188.531581102595,188.531585249824,3,compression,4,0.4,0.2,coarse,0.003016
coarse_compression,0.01,90,191.6341261143,191.6341261143,187.80443962419224,189.2917577768,191.63410511593003,191.634109053785,191.63412125846,3,compression,4,0.6,0.4,coarse,0.003016
coarse_compression,0.01,134,185.9574471047,185.9574471047,170.64124769843357,170.32342733785,185.95742812834,185.95743499406,185.957439905987,3,compression,4,0.8,0.6,coarse,0.003016
coarse_compression,0.01,132,178.4899807862,178.4899807862,170.32976992652425,168.45067148754998,178.48995920546,178.489967317615,178.489973614742,3,compression,4,0.9,0.8,coarse,0.003016
coarse_compression,0.01,72,180.5303910784,180.5303910784,179.27120991912915,180.53034779695002,180.53036812235,180.530375029475,180.530382105846,3,compression,4,0.95,0.9,coarse,0.003016
coarse_compression,0.01,54,193.6635450898,193.6635450898,189.28851406031666,189.26550241605,193.66352343346003,193.66353530230498,193.66354375488902,3,compression,4,1.0,0.95,coarse,0.003016
coarse_compression,0.01,1,69.6075718587,69.6075718587,69.6075718587,69.6075718587,69.6075718587,69.6075718587,69.6075718587,4,compression,4,0.2,0.0,coarse,0.004022
coarse_compression,0.01,32,86.8625770172,86.8625770172,79.44382484284063,77.47143474678,86.862564773933,86.8625694801195,86.862576161414,4,compression,4,0.4,0.2,coarse,0.004022
coarse_compression,0.01,90,87.11068298055,87.11068298055,84.86167905417702,86.61642126503,87.110673619362,87.11067845961651,87.1106810950138,4,compression,4,0.6,0.4,coarse,0.004022
coarse_compression,0.01,134,79.97074072168,79.97074072168,71.3591732525636,68.641871455225,79.970727928532,79.970733648044,79.97073842421321,4,compression,4,0.8,0.6,coarse,0.004022
coarse_compression,0.01,132,73.93579737061,73.93579737061,72.26199806556095,72.25198293246501,73.935766691955,73.9357710218465,73.93578699521801,4,compression,4,0.9,0.8,coarse,0.004022
coarse_compression,0.01,72,71.37235671154,71.37235671154,70.91919814595458,70.692650951795,71.37232739021299,71.37233908849299,71.3723537091701,4,compression,4,0.95,0.9,coarse,0.004022
coarse_compression,0.01,54,52.78523693468,52.78523693468,46.262690230521855,43.030623149034994,52.785198857859,52.7852061631875,52.7852249468856,4,compression,4,1.0,0.95,coarse,0.004022
coarse_compression,0.01,7,278.3400297139,278.3400297139,235.82434539984283,228.7384032085,248.57905656898004,263.45954314144,275.36393239940804,5,compression,4,0.2,0.0,coarse,0.005027
coarse_compression,0.01,26,198.4044738771,198.4044738771,186.41284457523463,181.8265947497,198.4044597322,198.40446370425,198.4044714765,5,compression,4,0.4,0.2,coarse,0.005027
coarse_compression,0.01,90,172.6167114828,172.6167114828,169.2884674496478,167.6174944555,172.61669272447,172.616698504145,172.616710438029,5,compression,4,0.6,0.4,coarse,0.005027
coarse_compression,0.01,134,168.772977191,168.772977191,160.96000960523585,159.15797571425,168.77295439717,168.77296053539501,168.772967963416,5,compression,4,0.8,0.6,coarse,0.005027
coarse_compression,0.01,132,156.9344476059,156.9344476059,152.9320347381311,153.55490680265,156.93441344792998,156.93442434001,156.934433932345,5,compression,4,0.9,0.8,coarse,0.005027
coarse_compression,0.01,72,139.5066122886,139.5066122886,136.03801378123478,134.3037709908,139.50656607593,139.506569158825,139.506609639164,5,compression,4,0.95,0.9,coarse,0.005027
coarse_compression,0.01,48,80.71213708768,80.71213708768,80.69979416254833,80.69975533316,80.71209974495,80.712114185988,80.7121335214375,5,compression,4,1.0,0.95,coarse,0.005027
coarse_compression,0.01,7,86.93760498938,86.93760498938,83.39001257906571,82.79874490092,84.45430706057,85.695956024975,86.68927519649901,6,compression,4,0.2,0.0,coarse,0.006032
coarse_compression,0.01,26,80.10618500671,80.10618500671,79.55674509935155,79.58145217064501,80.10617648402,80.1061818924925,80.10618426611751,6,compression,4,0.4,0.2,coarse,0.006032
coarse_compression,0.01,84,95.31434215844,95.31434215844,87.62945178110633,84.420411351905,95.31432894212,95.314331717052,95.3143395795387,6,compression,4,0.6,0.4,coarse,0.006032
coarse_compression,0.01,140,96.37244324236,96.37244324236,94.25228396054464,94.3341519011,96.37242611700401,96.37243690547099,96.3724420672217,6,compression,4,0.8,0.6,coarse,0.006032
coarse_compression,0.01,132,111.38087344,111.38087344,97.86126385897515,93.6939293181,111.38082801552,111.38084310113001,111.38086304222298,6,compression,4,0.9,0.8,coarse,0.006032
