field,operator,region,count,accel_max,accel_mean,error_maxabs,error_mean,net_fx,net_fy,net_fz,sign_metric
uniform_1000,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,interior,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,lateral,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,cap_edge,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,2,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,2,interior,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,2,lateral,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,2,cap_edge,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_x_1000PaPerM,1,all,407,0.47516623331941393,0.30362732527743536,0.33296674758956046,0.17662992565956792,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,interior,63,0.47516623331941393,0.44991546797138865,0.055672555464652926,0.031041567845300554,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,lateral,196,0.38849238221336047,0.28238069840578345,0.2714738336552306,0.19707028658764664,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,cap_edge,148,0.45320934250940115,0.26949344606881864,0.33296674758956046,0.21153368106764522,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,2,all,407,0.476190476190477,0.4761904761904762,8.363255499420409e-16,1.4341077557928547e-16,-0.40700000000000036,-2.0658509798485385e-18,-1.3307039681141524e-18,-0.4761904761904762
linear_x_1000PaPerM,2,interior,63,0.476190476190477,0.47619047619047633,8.363255499420409e-16,2.4972406982415265e-16,-0.40700000000000036,-2.0658509798485385e-18,-1.3307039681141524e-18,-0.4761904761904762
linear_x_1000PaPerM,2,lateral,196,0.47619047619047683,0.4761904761904761,6.680366967426962e-16,1.2388211753906833e-16,-0.40700000000000036,-2.0658509798485385e-18,-1.3307039681141524e-18,-0.4761904761904762
linear_x_1000PaPerM,2,cap_edge,148,0.4761904761904768,0.4761904761904761,6.109233651461276e-16,1.2401806908236593e-16,-0.40700000000000036,-2.0658509798485385e-18,-1.3307039681141524e-18,-0.4761904761904762
radial_linear,1,all,407,9.302815008877136,7.038771867183662,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,interior,63,9.302815008877136,8.119343942803626,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,lateral,196,9.14622821960142,7.199916615157233,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,cap_edge,148,8.802949371358846,6.365390709299353,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,2,all,407,13.71315646023568,12.373754137066387,0.0,0.0,4.683753385137379e-17,6.591949208711867e-17,4.8843837438506364e-08,-12.240459253568524
radial_linear,2,interior,63,11.720155918790871,9.571355747071014,0.0,0.0,4.683753385137379e-17,6.591949208711867e-17,4.8843837438506364e-08,-12.240459253568524
radial_linear,2,lateral,196,13.302178888160032,13.075364674028462,0.0,0.0,4.683753385137379e-17,6.591949208711867e-17,4.8843837438506364e-08,-12.240459253568524
radial_linear,2,cap_edge,148,13.71315646023568,12.637507064938967,0.0,0.0,4.683753385137379e-17,6.591949208711867e-17,4.8843837438506364e-08,-12.240459253568524
center_bump,1,all,407,9.777711894642,5.988399603121087,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,interior,63,9.777711894642,8.63089548311814,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,lateral,196,8.635461235618136,5.54171609944423,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,cap_edge,148,9.23515549893682,5.455107213126828,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,2,all,407,16.07557513076369,9.896549709767774,0.0,0.0,1.1275702593849246e-16,4.683753385137379e-17,-3.401284797040216e-08,9.74663556109285
center_bump,2,interior,63,12.412821607867043,10.318704984247393,0.0,0.0,1.1275702593849246e-16,4.683753385137379e-17,-3.401284797040216e-08,9.74663556109285
center_bump,2,lateral,196,12.204887104980116,9.548620548121102,0.0,0.0,1.1275702593849246e-16,4.683753385137379e-17,-3.401284797040216e-08,9.74663556109285
center_bump,2,cap_edge,148,16.07557513076369,10.177619529974066,0.0,0.0,1.1275702593849246e-16,4.683753385137379e-17,-3.401284797040216e-08,9.74663556109285
